# This is the list of histogram data!
# Number	cdNum	mark
1614	3	0
1615	24	0
1616	1	0
1617	25	0
1618	24	0
1619	5	0
1620	11	0
1621	11	0
1622	3	0
1623	33	0
1624	1	0
1625	16	0
1626	15	0
1627	27	0
1628	6	0
1629	19	0
1630	12	0
1631	17	17
1632	1	1
1633	1	1
1634	1	1
1635	1	0
1636	7	0
1637	7	0
1638	200	0
1639	200	0
1640	3	0
1641	3	0
1642	200	0
1643	26	0
1644	2	0
1645	2	0
1646	2	2
1647	10	2
1648	8	8
1649	2	2
1650	1	0
1651	85	0
1652	11	0
1653	1	0
1654	29	0
1655	60	0
1656	7	0
1657	7	0
1658	1	0
1659	22	0
1660	11	0
1661	15	0
1662	31	0
1663	98	0
1664	5	0
1665	4	0
1666	4	0
1667	1	0
1668	4	0
1669	64	0
1670	1	1
1671	42	0
1672	18	0
1673	1	0
1674	6	0
1675	3	0
1676	1	0
1677	10	0
1678	12	0
1679	11	0
1680	30	0
1681	1	0
1682	1	0
1683	1	0
1684	8	6
1685	19	19
1686	2	2
1687	3	3
1688	6	6
1689	1	1
1690	1	0
1691	23	0
1692	200	0
1693	16	0
1694	200	0
1695	3	0
1696	1	0
1697	8	0
1698	1	0
1699	2	0
1700	6	0
1701	2	0
1702	48	0
1703	1	0
1704	21	0
1705	1	1
1706	11	10
1707	1	1
1708	3	0
1709	17	0
1710	8	0
1711	16	0
1712	1	0
1713	38	0
1714	58	0
1715	13	0
1716	3	0
1717	16	0
1718	59	0
1719	18	0
1720	145	0
1721	13	0
1722	15	0
1723	13	13
1724	1	1
1725	6	0
1726	14	0
1727	22	0
1728	26	0
1729	14	0
1730	177	0
1731	7	0
1732	10	10
1733	34	34
1734	1	1
1735	1	1
1736	1	1
1737	3	0
1738	1	1
1739	24	0
1740	15	0
1741	42	0
1742	1	0
1743	77	0
1744	6	0
1745	1	0
1746	14	0
1747	5	0
1748	8	0
1749	44	0
1750	2	0
1751	2	0
1752	91	0
1753	1	0
1754	23	23
1755	30	30
1756	2	2
1757	1	1
1758	14	14
1759	4	4
1760	1	1
1761	2	0
1762	10	0
1763	8	0
1764	112	0
1765	15	0
1766	2	0
1767	1	0
1768	13	0
1769	10	0
1770	42	0
1771	24	0
1772	25	0
1773	1	0
1774	159	0
1775	5	0
1776	12	0
1777	1	0
1778	6	5
1779	1	1
1780	1	1
1781	1	0
1782	2	2
1783	14	0
1784	12	0
1785	4	0
1786	5	0
1787	12	0
1788	19	0
1789	5	0
1790	15	0
1791	31	0
1792	28	0
1793	21	19
1794	200	200
1795	7	7
1796	1	1
1797	1	0
1798	1	0
1799	25	0
1800	86	0
1801	23	0
1802	8	0
1803	5	0
1804	3	0
1805	33	33
1806	2	2
1807	1	0
1808	2	2
1809	6	6
1810	12	10
1811	1	1
1812	97	0
1813	2	0
1814	17	0
1815	2	0
1816	13	0
1817	93	0
1818	1	0
1819	32	0
1820	77	54
1821	6	6
1822	2	2
1823	1	0
1824	66	0
1825	27	0
1826	1	0
1827	1	0
1828	1	0
1829	8	0
1830	5	0
1831	77	0
1832	14	0
1833	16	0
1834	2	0
1835	1	0
1836	133	0
1837	1	0
1838	1	0
1839	20	0
1840	8	0
1841	1	0
1842	35	0
1843	21	21
1844	1	1
1845	2	0
1846	1	0
1847	107	0
1848	4	0
1849	11	0
1850	6	0
1851	34	0
1852	5	0
1853	4	0
1854	3	0
1855	30	0
1856	1	0
1857	2	0
1858	12	0
1859	44	0
1860	28	0
1861	15	0
1862	200	200
1863	4	4
1864	1	0
1865	2	2
1866	2	0
1867	1	0
1868	13	0
1869	119	0
1870	25	0
1871	3	0
1872	3	0
1873	59	0
1874	12	0
1875	29	0
1876	1	0
1877	4	0
1878	15	15
1879	7	2
1880	7	7
1881	7	0
1882	22	0
1883	42	0
1884	7	0
1885	120	0
1886	16	0
1887	1	0
1888	200	200
1889	2	2
1890	13	13
1891	1	1
1892	4	4
1893	49	0
1894	22	0
1895	61	0
1896	1	0
1897	47	0
1898	5	0
1899	24	0
1900	13	0
1901	15	0
1902	27	0
1903	37	0
1904	1	0
1905	24	0
1906	1	1
1907	2	2
1908	1	1
1909	1	1
1910	1	0
1911	24	0
1912	26	0
1913	3	0
1914	13	0
1915	11	0
1916	1	0
1917	50	0
1918	6	0
1919	4	0
1920	15	0
1921	15	0
1922	151	0
1923	20	0
1924	12	12
1925	2	2
1926	1	1
1927	2	0
1928	12	0
1929	25	0
1930	54	0
1931	1	0
1932	2	0
1933	12	0
1934	22	0
1935	11	0
1936	10	0
1937	14	0
1938	5	0
1939	21	0
1940	12	0
1941	2	2
1942	1	1
1943	2	2
1944	1	0
1945	1	0
1946	15	0
1947	21	0
1948	20	0
1949	138	0
1950	10	0
1951	1	1
1952	9	9
1953	1	1
1954	38	22
1955	200	200
1956	2	0
1957	1	0
1958	52	0
1959	18	0
1960	1	0
1961	24	0
1962	1	0
1963	100	0
1964	1	0
1965	1	0
1966	5	0
1967	7	0
1968	14	0
1969	18	0
1970	94	94
1971	25	25
1972	176	176
1973	1	1
1974	4	4
1975	2	2
1976	18	0
1977	90	0
1978	25	0
1979	18	0
1980	21	0
1981	16	0
1982	15	0
1983	12	0
1984	3	0
1985	7	0
1986	1	0
1987	18	0
1988	5	0
1989	13	13
1990	1	1
1991	2	0
1992	3	0
1993	50	0
1994	2	0
1995	15	0
1996	200	0
1997	9	0
1998	2	2
1999	2	2
2000	1	0
2001	200	0
2002	26	0
2003	1	0
2004	23	0
2005	1	0
2006	164	0
2007	20	0
2008	79	0
2009	17	0
2010	36	0
2011	4	0
2012	13	0
2013	11	0
2014	126	0
2015	14	14
2016	7	0
2017	11	1
2018	5	0
2019	8	0
2020	18	0
2021	1	0
2022	146	0
2023	9	0
2024	26	0
2025	18	0
2026	31	0
2027	8	0
2028	1	1
2029	1	1
2030	2	2
2031	21	0
2032	5	0
2033	1	0
2034	1	0
2035	1	0
2036	2	0
2037	9	0
2038	16	0
2039	24	0
2040	32	0
2041	196	0
2042	31	0
2043	28	28
2044	1	0
2045	2	0
2046	21	0
2047	51	0
2048	3	0
2049	1	0
2050	44	0
2051	22	0
2052	16	0
2053	118	0
2054	14	0
2055	3	0
2056	1	0
2057	9	0
2058	18	0
2059	1	1
2060	1	1
2061	1	1
2062	2	2
2063	200	0
2064	1	0
2065	15	0
2066	24	0
2067	28	0
2068	18	0
2069	2	2
2070	9	0
2071	3	0
2072	14	0
2073	1	0
2074	17	0
2075	15	0
2076	6	0
2077	105	0
2078	85	0
2079	58	0
2080	10	0
2081	2	0
2082	23	0
2083	12	0
2084	7	0
2085	55	55
2086	8	8
2087	1	1
2088	1	0
2089	3	3
2090	83	0
2091	1	0
2092	9	0
2093	6	0
2094	2	0
2095	46	0
2096	4	0
2097	3	0
2098	1	0
2099	25	0
2100	7	0
2101	15	0
2102	11	0
2103	7	7
2104	2	2
2105	2	2
2106	1	0
2107	23	0
2108	31	0
2109	17	0
2110	1	0
2111	26	0
2112	21	0
2113	15	0
2114	1	0
2115	5	0
2116	3	0
2117	27	19
2118	1	0
2119	6	0
2120	19	0
2121	2	0
2122	9	0
2123	99	0
2124	16	0
2125	8	0
2126	5	0
2127	16	0
2128	9	0
2129	9	0
